Company Name,Latitude,Longitude,Street,City,County,State,Confidence,Original Address
ICJ Rodriguez Express Inc.,41.904598,-87.898531,132 S Marilyn Ave,Northlake,Cook County,IL,High,"132 S Marilyn Ave, Northlake, IL"
ICS Consultants Group Inc.,41.914458,-87.692018,1815 N Rockwell St,Chicago,Cook County,IL,High,"1815 N Rockwell St, Chicago, IL"
ID8 LLC,41.908148,-87.641164,1418 N Cleveland Ave,Chicago,Cook County,IL,High,"1418 N Cleveland Ave, Chicago, IL"
"IDG Architects, Inc",29.942411,-95.393772,440 Benmar Dr,Houston,Harris County,TX,High,"440 Benmar, Suite 3335, Houston, TX"
"IDI Interiors, LLC.",42.345427,-87.856188,700 S Lewis Ave,Waukegan,Lake County,IL,High,"700 S Lewis, Suite 240, Waukegan, IL"
IE Design PLLC,42.002027,-88.051025,759 Schooner Ln,Elk Grove Village,Cook County,IL,High,"759 Schooner Ln, Elk Grove Village, IL"
"IFR Holdings, LLC",40.118672,-88.243847,301 N Neil St,Champaign,Champaign County,IL,High,"301 N Neil Street Suite 400, Champaign, IL"
"IFR Holdings, LLC- Kilo Series (012)",40.11244515,-88.24350795,S Neil St,Champaign,Champaign County,IL,Medium,"301 N Neil Stret, Sutie 400, Champaign, IL"
IGOR The Watchdog Corp.,41.551778,-87.805167,7650 Graphic Dr,Tinley Park,Cook County,IL,High,"7650 Graphic Drive, Tinley Park, IL"
"II Bulls Mechanical Services, Inc",41.8281213,-87.6160203,3630 S Rhodes Ave,Chicago,Cook County,IL,High,"3630 South Rhodes Avenue, Chicago, IL"
"II In One Contractors, Inc.",41.811648,-87.733211,4344 W 45th St,Chicago,Cook County,IL,High,"4344 West 45th Street, Chicago, IL"
"II In One Rebar, Inc.",41.811648,-87.733211,4344 W 45th St,Chicago,Cook County,IL,High,"4344 West 45th Street, Chicago, IL"
"III Solutions, Inc.",42.127834,-88.055345,1014 N Auburn Ridge Dr,Palatine,Cook County,IL,High,"1014 N Auburn Ridge, Palatine, IL"
ILLINOIS EQUITY STAFFING LLC,41.880168,-87.625778,55 E Monroe St,Chicago,Cook County,IL,High,"55 E Monroe Street, Suite 3800, Chicago, IL"
ILLINOIS SECURITY PROFESSIONALS INC,41.884827,-87.624964,150 N Michigan Ave,Chicago,Cook County,IL,High,"150 N Michigan Ave, 2800, Chicago, IL"
